model,n_parameters,hostname,runtime_engine,floatx,batch_size,device,runs_per_second_mean,runs_per_second_std,n_runs,abs_err_to_pytorch_mean,abs_err_to_pytorch_std
resnet50_additional_dense_pretrained,24568391,gigabook1,pytorch_1.2.0,32,20,cpu,0.7419130590269124,0.00231166307392396,100,-1,-1
resnext50_additional_dense_pretrained,24040263,gigabook1,pytorch_1.2.0,32,20,cpu,0.5895649061031487,0.038437568364625974,100,-1,-1
beyer_mod_relu_depth_126_48,787087,gigabook1,pytorch_1.2.0,32,1,cpu,251.19668981697632,9.044414924939366,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,gigabook1,pytorch_1.2.0,32,1,cpu,98.63954344798141,0.6712709431283658,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,gigabook1,pytorch_1.2.0,32,1,cpu,19.386150656968923,0.3363376252054511,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,gigabook1,pytorch_1.2.0,32,1,cpu,22.12376622189783,0.6664805713357084,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,gigabook1,pytorch_1.2.0,32,1,cpu,15.448290074841166,0.3923341632939814,100,-1,-1
resnet18_additional_dense_pretrained,11442759,gigabook1,pytorch_1.2.0,32,1,cpu,32.21570003125819,0.2222492601247519,100,-1,-1
resnet34_additional_dense_pretrained,21550919,gigabook1,pytorch_1.2.0,32,1,cpu,20.164644199947038,0.1646107181321549,100,-1,-1
resnet50_additional_dense_pretrained,24568391,gigabook1,pytorch_1.2.0,32,1,cpu,12.281093187401739,0.2980714850041188,100,-1,-1
resnext50_additional_dense_pretrained,24040263,gigabook1,pytorch_1.2.0,32,1,cpu,11.060578873175787,0.04498805767708959,100,-1,-1
beyer_mod_relu_depth_126_48,787087,gigabook1,pytorch_1.2.0,32,5,cpu,75.92618646333875,0.5785625971922946,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,gigabook1,pytorch_1.2.0,32,5,cpu,25.692195668910244,0.5842973862468327,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,gigabook1,pytorch_1.2.0,32,5,cpu,4.049543272155982,0.06470174846732818,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,gigabook1,pytorch_1.2.0,32,5,cpu,4.686128501905532,0.08915757417830969,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,gigabook1,pytorch_1.2.0,32,5,cpu,3.1894814082238736,0.05030514568420574,100,-1,-1
resnet18_additional_dense_pretrained,11442759,gigabook1,pytorch_1.2.0,32,5,cpu,9.313439428740978,0.09759156098214955,100,-1,-1
resnet34_additional_dense_pretrained,21550919,gigabook1,pytorch_1.2.0,32,5,cpu,5.605767611089627,0.08427180352848905,100,-1,-1
resnet50_additional_dense_pretrained,24568391,gigabook1,pytorch_1.2.0,32,5,cpu,2.990353765104774,0.007013267402111911,100,-1,-1
resnext50_additional_dense_pretrained,24040263,gigabook1,pytorch_1.2.0,32,5,cpu,2.5186585999029756,0.026730053467304754,100,-1,-1
beyer_mod_relu_depth_126_48,787087,gigabook1,pytorch_1.2.0,32,50,cpu,7.389722473408243,0.11077538496208876,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,gigabook1,pytorch_1.2.0,32,50,cpu,2.362077973560057,0.052093986300878685,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,gigabook1,pytorch_1.2.0,32,50,cpu,0.36412529307203817,0.002926718943053063,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,gigabook1,pytorch_1.2.0,32,50,cpu,0.4246265814398825,0.00273741191298231,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,gigabook1,pytorch_1.2.0,32,50,cpu,0.3016351986014731,0.0016295290395834338,100,-1,-1
resnet18_additional_dense_pretrained,11442759,gigabook1,pytorch_1.2.0,32,50,cpu,0.902033764032618,0.007319356642485611,100,-1,-1
resnet34_additional_dense_pretrained,21550919,gigabook1,pytorch_1.2.0,32,50,cpu,0.5440545506166556,0.0015741460031518922,100,-1,-1
resnet50_additional_dense_pretrained,24568391,gigabook1,pytorch_1.2.0,32,50,cpu,0.2656883103642115,0.0007040044970272379,100,-1,-1
resnext50_additional_dense_pretrained,24040263,gigabook1,pytorch_1.2.0,32,50,cpu,0.2156053448753715,0.0010737953753063509,100,-1,-1
