model,n_parameters,hostname,runtime_engine,floatx,batch_size,device,runs_per_second_mean,runs_per_second_std,n_runs,abs_err_to_pytorch_mean,abs_err_to_pytorch_std
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,32,1,gpu,66.06869986465422,1.1575707901165857,100,9.327009e-07,2.989216e-07
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,16,1,gpu,195.34076682579976,1.4055819691217835,100,0.0028008607,0.0009108989
beyer_mod_relu_depth_126_48,787087,jetson-X-01,pytorch_1.4.0,32,5,cpu,0.513823488741136,0.06143493390193281,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,pytorch_1.4.0,32,5,cpu,0.15573604986644848,0.007528871574008089,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,pytorch_1.4.0,32,5,cpu,0.068800007481656,0.002693002896180422,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,pytorch_1.4.0,32,5,cpu,0.06454208711848596,0.0016724661203376787,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,pytorch_1.4.0,32,5,cpu,0.04462764018607276,0.0010100386073011154,100,-1,-1
resnet18_additional_dense_pretrained,11442759,jetson-X-01,pytorch_1.4.0,32,5,cpu,0.053953577857745405,0.004361039446092032,100,-1,-1
resnet34_additional_dense_pretrained,21550919,jetson-X-01,pytorch_1.4.0,32,5,cpu,0.026385328917376886,0.001301150552447065,100,-1,-1
resnet50_additional_dense_pretrained,24568391,jetson-X-01,pytorch_1.4.0,32,5,cpu,0.028164278929936247,0.0012781846567867805,100,-1,-1
resnext50_additional_dense_pretrained,24040263,jetson-X-01,pytorch_1.4.0,32,5,cpu,0.01235114259861157,0.0002354760368098896,100,-1,-1
beyer_mod_relu_depth_126_48,787087,jetson-X-01,pytorch_1.4.0,32,5,gpu,373.3945313376544,12.477696470026224,100,-1,-1
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,32,5,gpu,696.9186750108788,11.156423002610838,100,7.964671e-09,3.772868e-09
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,16,5,gpu,1000.5120370310211,27.120675260597647,100,4.8979913e-05,1.4591439e-05
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,pytorch_1.4.0,32,5,gpu,73.22583551997582,1.6960704438005063,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,32,5,gpu,356.01001161614613,4.243630955433356,100,4.385082e-06,1.2760559e-06
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,16,5,gpu,457.3835433555758,17.3754957712218,100,0.030309578,0.0054099113
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,pytorch_1.4.0,32,5,gpu,72.79948547352916,1.0427197227703109,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,tensorrt_6.0.1.10,32,5,gpu,136.06933972870442,0.943971589575054,100,5.7342836e-06,1.3005599e-06
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,tensorrt_6.0.1.10,16,5,gpu,261.8664899940604,2.468881552600617,100,0.022070536,0.004385078
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,pytorch_1.4.0,32,5,gpu,44.47902479306442,0.7010980819330884,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,tensorrt_6.0.1.10,32,5,gpu,54.41525103009994,0.15695071615484432,100,1.9719507e-06,6.5115205e-07
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,tensorrt_6.0.1.10,16,5,gpu,73.79388140810386,0.22732132428955515,100,0.0091925375,0.0024786303
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,pytorch_1.4.0,32,5,gpu,31.836439756187115,0.3530466668969391,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,tensorrt_6.0.1.10,32,5,gpu,38.2615920274666,0.07708329307113422,100,2.502704e-06,8.792107e-07
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,tensorrt_6.0.1.10,16,5,gpu,52.510960158298715,0.14146212779949413,100,0.012691773,0.0035092465
resnet18_additional_dense_pretrained,11442759,jetson-X-01,pytorch_1.4.0,32,5,gpu,58.37531833145034,0.1627892382962981,100,-1,-1
resnet18_additional_dense_pretrained,11442759,jetson-X-01,tensorrt_6.0.1.10,32,5,gpu,82.46335698873952,0.7104690887633034,100,9.286627e-07,2.8888968e-07
resnet18_additional_dense_pretrained,11442759,jetson-X-01,tensorrt_6.0.1.10,16,5,gpu,277.47492490739523,2.3001911329449163,100,0.0035167723,0.0010696456
resnet34_additional_dense_pretrained,21550919,jetson-X-01,pytorch_1.4.0,32,5,gpu,33.095147802871296,0.06750780924431944,100,-1,-1
resnet34_additional_dense_pretrained,21550919,jetson-X-01,tensorrt_6.0.1.10,32,5,gpu,45.66491158374526,0.13071414047527008,100,1.4806874e-06,4.933266e-07
resnet34_additional_dense_pretrained,21550919,jetson-X-01,tensorrt_6.0.1.10,16,5,gpu,168.12488873192527,1.522825097020862,100,0.005437832,0.001774283
resnet50_additional_dense_pretrained,24568391,jetson-X-01,pytorch_1.4.0,32,5,gpu,22.20817780922313,0.0264897405040955,100,-1,-1
resnet50_additional_dense_pretrained,24568391,jetson-X-01,tensorrt_6.0.1.10,32,5,gpu,33.0877586995461,0.05923104335516737,100,6.3553824e-07,1.8844091e-07
resnet50_additional_dense_pretrained,24568391,jetson-X-01,tensorrt_6.0.1.10,16,5,gpu,120.36138998091155,0.6784335946223479,100,0.002805985,0.00084644975
resnext50_additional_dense_pretrained,24040263,jetson-X-01,pytorch_1.4.0,32,5,gpu,17.615871148821157,0.028474717271925975,100,-1,-1
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,32,5,gpu,22.70721902880294,0.043895748525556444,100,1.0780655e-06,3.451505e-07
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,16,5,gpu,70.05576434785846,0.38069753093153663,100,0.004284411,0.0012842413
beyer_mod_relu_depth_126_48,787087,jetson-X-01,pytorch_1.4.0,32,10,cpu,0.28449967121360015,0.03985068536053453,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,pytorch_1.4.0,32,10,cpu,0.0944361797615333,0.00437466057996959,100,-1,-1
